id	string	family	given	name	flag	start	end
bm000356563	St. Paul Expedition Astron.	St. Paul Expedition Astron.             					
bm000012015	Robertson, John (fl. 1883-1890)	Robertson	John	John Robertson	fl. 	1883	1890
bm000056266	Jarvis, William Robert (1927-)	Jarvis	William Robert	William Robert Jarvis		1927	
bm000118022	Vosburgh, C.R.	Vosburgh	C.R.	C.R. Vosburgh			
bm000349570	Lambruschini	Lambruschini             					
bm000134469	Guyon, H. (fl. 1890-1892)	Guyon	H.	H. Guyon	fl. 	1890	1892
bm000140200	López-Forment Conradt, William (fl. 1976-1999)	López-Forment Conradt	William	William López-Forment Conradt	fl. 	1976	1999
bm000376463	Oliveros, S.V.	Oliveros	S.V.	S.V. Oliveros			
bm000031911	Rogeon, J.F. (fl. 1925-1932)	Rogeon	J.F.	J.F. Rogeon	fl. 	1925	1932
bm000056187	Stranger, W.	Stranger	W.	W. Stranger			
bm000348192	Lucas, P.T.	Lucas	P.T.	P.T. Lucas			
bm000122968	Gaudichaud, Charles	Gaudichaud	Charles	Charles Gaudichaud			
bm000345002	Paalhaar, Marieke	Paalhaar	Marieke	Marieke Paalhaar			
bm000362939	Asensi, Alfredo (1949-)	Asensi	Alfredo	Alfredo Asensi		1949	
bm000059100	Guedes, J. (fl. 1979-1985)	Guedes	J.	J. Guedes	fl. 	1979	1985
bm000346316	Nalang	Nalang             					
bm000368977	Hara, Yoshiaki (1944-)	Hara	Yoshiaki	Yoshiaki Hara		1944	
bm000339166	Garrett, C.J.	Garrett	C.J.	C.J. Garrett			
bm000150187	Arnell, Hampus Wilhelm (1848-1932)	Arnell	Hampus Wilhelm	Hampus Wilhelm Arnell		1848	1932
bm000009742	Murrill, William Alphonso (1869-1957)	Murrill	William Alphonso	William Alphonso Murrill		1869	1957
bm000365958	Tao, Guo-Da (1939-)	Tao	Guo-Da	Guo-Da Tao		1939	
bm000200173	Freire, S.E. (1954-)	Freire	S.E.	S.E. Freire		1954	
bm000352776	Muir, J.J.	Muir	J.J.	J.J. Muir			
bm000351343	Forwood, W.R.	Forwood	W.R.	W.R. Forwood			
bm000363695	Chaix, Dominique (1730-1799)	Chaix	Dominique	Dominique Chaix		1730	1799
bm000344876	Schiöler, Inge	Schiöler	Inge	Inge Schiöler			
bm000340106	Davis, David	Davis	David	David Davis			
bm000361702	Williams, Cynthia L. (1954-)	Williams	Cynthia L.	Cynthia L. Williams		1954	
bm000368552	Stoffelen, Piet	Stoffelen	Piet	Piet Stoffelen			
bm000373349	Storer, John	Storer	John	John Storer			
bm000500253	Køie, Aas (fl. 1948-1949)	Køie	Aas	Aas Køie	fl. 	1948	1949
bm000370230	Han, Fang (1954-)	Han	Fang	Fang Han		1954	
bm000369282	Pitso, T.R. (1972-)	Pitso	T.R.	T.R. Pitso		1972	
bm000026349	Soubirou, G. (fl. 1896-1908)	Soubirou	G.	G. Soubirou	fl. 	1896	1908
bm000332251	Hall, Peter Charles Francis (fl. 1954-1961)	Hall	Peter Charles Francis	Peter Charles Francis Hall	fl. 	1954	1961
bm000343735	Beck, H.J.L.	Beck	H.J.L.	H.J.L. Beck			
bm000140384	Mollinedo, P. (fl. 2005)	Mollinedo	P.	P. Mollinedo	fl. 	2005	
bm000363295	Belo-Correia, A.L.	Belo-Correia	A.L.	A.L. Belo-Correia			
bm000339212	Li, Yu (1962-)	Li	Yu	Yu Li		1962	
bm000004735	Lam, Herman Johannes (1892-1977)	Lam	Herman Johannes	Herman Johannes Lam		1892	1977
bm000383358	Nordvoeger, L.A.	Nordvoeger	L.A.	L.A. Nordvoeger			
bm000007980	Sørensen, Thorwald (Thorvald) Julius (1902-1973)	Sørensen	Thorwald	Thorwald Sørensen			
bm000366306	Hattink, T.A.	Hattink	T.A.	T.A. Hattink			
bm000129741	De Smet, I. (fl. 1999-2000)	De Smet	I.	I. De Smet	fl. 	1999	2000
bm000152483	Ménuez Orozco, O. R	Ménuez Orozco	O. R	O. R Ménuez Orozco			
bm000382295	Tilak, V.M.	Tilak	V.M.	V.M. Tilak			
bm000356107	Bradbury, E.P.	Bradbury	E.P.	E.P. Bradbury			
bm000139872	Jiménez Avila, Epifanio	Jiménez Avila	Epifanio	Epifanio Jiménez Avila			
bm000327372	Calonge, Francisco de (1938-)	Calonge	Francisco de	Francisco de Calonge		1938	
bm000380263	Little, Henry (1802-1827)	Little	Henry	Henry Little		1802	1827
bm000368753	Trass, Hans (Kh. K.) (1928-)	Trass	Hans	Hans Trass			
bm000370848	Chesi, Jacquelyn J. (1942-)	Chesi	Jacquelyn J.	Jacquelyn J. Chesi		1942	
bm000049151	Lowe, Willougby Prescott (1872-1949)	Lowe	Willougby Prescott	Willougby Prescott Lowe		1872	1949
bm000028874	Wager, H. (fl. 1914)	Wager	H.	H. Wager	fl. 	1914	
bm000363154	Atkinson, William Sackston (1821-1875)	Atkinson	William Sackston	William Sackston Atkinson		1821	1875
bm000371662	Livens, Herbert Mann (1860-1946)	Livens	Herbert Mann	Herbert Mann Livens		1860	1946
bm000137187	Bulnes, F. (fl. 1989)	Bulnes	F.	F. Bulnes	fl. 	1989	
bm000034166	Manon, Michael (fl. 1980)	Manon	Michael	Michael Manon	fl. 	1980	
bm000023868	Bayce, Daniel (1956-)	Bayce	Daniel	Daniel Bayce		1956	
bm000059930	Skead, David Michael (1937-1983)	Skead	David Michael	David Michael Skead		1937	1983
bm000351971	Dutton, Charles	Dutton	Charles	Charles Dutton			
bm000129091	Béligny	Béligny             					
bm000350961	Crane, Basil K.	Crane	Basil K.	Basil K. Crane			
bm000332973	Winckel, W.F. (1880-1938)	Winckel	W.F.	W.F. Winckel		1880	1938
bm000004634	Küpfer, Philippe (1942-)	Küpfer	Philippe	Philippe Küpfer		1942	
bm000047483	Herrera P., Pedro	Herrera P.	Pedro	Pedro Herrera P.			
bm000346930	Brewer, Vernon M.	Brewer	Vernon M.	Vernon M. Brewer			
bm000365094	Mottstone, F.J.H. (fl. 1836)	Mottstone	F.J.H.	F.J.H. Mottstone	fl. 	1836	
bm000377451	Scherfel, Aurel Wilhelm (Vilmos Aurél) (1835-1895)	Scherfel	Aurel Wilhelm	Aurel Wilhelm Scherfel			
bm000061204	Noia, Domingos (1949-)	Noia	Domingos	Domingos Noia		1949	
bm000332926	Muhlenberg, Gotthilf Heinrich Ernest (1753-1815)	Muhlenberg	Gotthilf Heinrich Ernest	Gotthilf Heinrich Ernest Muhlenberg		1753	1815
bm000133682	Haustein-Krobbach, Brigitte (1957-)	Haustein-Krobbach	Brigitte	Brigitte Haustein-Krobbach		1957	
bm000126224	Martínez, José (fl. 1999)	Martínez	José	José Martínez	fl. 	1999	
bm000131604	Silva, C.F. da (fl. 1994-1995)	Silva	C.F. da	C.F. da Silva	fl. 	1994	1995
bm000359832	Stortenbeker	Stortenbeker             					
bm000367678	Wagner, Paul Raymond (1910-)	Wagner	Paul Raymond	Paul Raymond Wagner		1910	
bm000049797	Lemann, Charles Morgan (1806-1852)	Lemann	Charles Morgan	Charles Morgan Lemann		1806	1852
bm000372722	Stecker, Adolph (1859-)	Stecker	Adolph	Adolph Stecker		1859	
bm000328739	Gysperger de Roulet, H. (-1927)	Gysperger de Roulet	H.	H. Gysperger de Roulet			
bm000374554	Groenhart, Pieter (1894-1965)	Groenhart	Pieter	Pieter Groenhart		1894	1965
bm000123501	Grijalva, Armando (1965-)	Grijalva	Armando	Armando Grijalva		1965	
bm000141179	Pardo, D. (fl. 2003-2005)	Pardo	D.	D. Pardo	fl. 	2003	2005
bm000339857	Thorburn, J.M.	Thorburn	J.M.	J.M. Thorburn			
bm000132956	Idarraga-Piedrahita, Alvaro (fl. 2000)	Idarraga-Piedrahita	Alvaro	Alvaro Idarraga-Piedrahita	fl. 	2000	
bm000400953	Robinson, H.	Robinson	H.	H. Robinson			
bm000005107	Loefling, Pehr (1729-1756)	Loefling	Pehr	Pehr Loefling		1729	1756
bm000366328	Henckel von Donnersmarck, Leo Victor Felix (1785-1861)	Henckel von Donnersmarck	Leo Victor Felix	Leo Victor Felix Henckel von Donnersmarck		1785	1861
bm000368138	Rosellini, Ferdinando (1817-1873)	Rosellini	Ferdinando	Ferdinando Rosellini		1817	1873
bm000372714	Vraný, Václav (1851-1929)	Vraný	Václav	Václav Vraný		1851	1929
bm000357376	Small, S.C.	Small	S.C.	S.C. Small			
bm000348834	Teilmann, A.C. (1786-1852)	Teilmann	A.C.	A.C. Teilmann		1786	1852
bm000043528	Greely, N.H.	Greely	N.H.	N.H. Greely			
bm000375967	Mériot	Mériot             					
bm000342627	Triano, E.	Triano	E.	E. Triano			
bm000061639	Turner, J.B. (fl. 1973)	Turner	J.B.	J.B. Turner	fl. 	1973	
bm000343824	Kasbin, M.	Kasbin	M.	M. Kasbin			
bm000383089	Spencer, Walter Baldwin (1860-1929)	Spencer	Walter Baldwin	Walter Baldwin Spencer		1860	1929
bm000372369	Hildebrand, Frederik Hendrik (1900-1975)	Hildebrand	Frederik Hendrik	Frederik Hendrik Hildebrand		1900	1975
bm000061369	Moura, J.G.	Moura	J.G.	J.G. Moura			
bm000004899	Lehmann, Friedrich Carl (1850-1903)	Lehmann	Friedrich Carl	Friedrich Carl Lehmann		1850	1903
bm000137611	Pereira, Nunes	Pereira	Nunes	Nunes Pereira			
bm000153069	Paltridge, T.B. (fl. 1928-1973)	Paltridge	T.B.	T.B. Paltridge	fl. 	1928	1973
bm000400005	Šelkovnikov, A.B.	Šelkovnikov	A.B.	A.B. Šelkovnikov			
bm000333001	McAllister, Hugh Alexander (1944-)	McAllister	Hugh Alexander	Hugh Alexander McAllister		1944	
bm000353465	Salzmann, M.	Salzmann	M.	M. Salzmann			
bm000362003	Henrard, Jean Alexandre Alice Marie	Henrard	Jean Alexandre Alice Marie	Jean Alexandre Alice Marie Henrard			
bm000150089	Al-Eisawi, Dawud M.H. (1946-)	Al-Eisawi	Dawud M.H.	Dawud M.H. Al-Eisawi		1946	
bm000001329	Cauvet, D. (fl. 1850-1885)	Cauvet	D.	D. Cauvet	fl. 	1850	1885
bm000041708	Dupuy, J.B. (fl. 1888)	Dupuy	J.B.	J.B. Dupuy	fl. 	1888	
bm000337464	Beautemps-Beaupré, Charles	Beautemps-Beaupré	Charles	Charles Beautemps-Beaupré			
bm000342779	Izumi, H.	Izumi	H.	H. Izumi			
bm000340481	Bigwood, M.H.	Bigwood	M.H.	M.H. Bigwood			
bm000130727	Kasyoki, W. (fl. 1971)	Kasyoki	W.	W. Kasyoki	fl. 	1971	
bm000376459	Blanchet, Rodolphe (1807-1860)	Blanchet	Rodolphe	Rodolphe Blanchet		1807	1860
bm000034925	Klug, Guillermo (-1946)	Klug	Guillermo	Guillermo Klug			
bm000032156	Voronov, Jurij Nikolajevič	Voronov	Jurij Nikolajevič	Jurij Nikolajevič Voronov			
